Test Name:,"UCT-AST9AH-A06",
Test Date:,"2024/03/04 10:48:13 AM",
Operator ID:,"Uyilo",

Program Name:,"UCT-Charge and par discharge",
Program Description:,"Charge and discharge test",
Program Database:,C:\VisuaLCN\Programs\Standard tests.mdb,

Module Type:,fj,
Module Description:,"LCV 16-100-12",
Address:,"Port: 1, Sys Controller: 1  Circuit: 14",
Name:,"Channel 14",Device ID:,"Unknown",

"Exclude","Total Time, (h:m:s)","Cycle","Loop Counter #1","Loop Counter #2","Loop Counter #3","Step","Step time, (h:m:s)","Current, A","Voltage, V","Power, W","Amp-Hours, AH","Watt-Hours, WH","Unassigned A1","Unassigned A2","Mode","Data Acquisition Flag",
No,="0:00:44.0",1,1,1,1,2,="0:00:34.0",1.49,13.182,19.6,0.01,0.18,0.0,0.0,CHRG, ,
No,="0:00:45.0",1,1,1,1,2,="0:00:35.0",1.50,13.188,19.7,0.01,0.18,0.0,0.0,CHRG, ,
No,="0:00:46.0",1,1,1,1,2,="0:00:36.0",1.50,13.195,19.7,0.01,0.19,0.0,0.0,CHRG, ,
No,="0:00:47.0",1,1,1,1,2,="0:00:37.0",1.50,13.201,19.7,0.01,0.19,0.0,0.0,CHRG, ,
No,="0:00:48.0",1,1,1,1,2,="0:00:38.0",1.50,13.208,19.8,0.01,0.20,0.0,0.0,CHRG, ,
No,="0:00:49.0",1,1,1,1,2,="0:00:39.0",1.50,13.214,19.8,0.01,0.21,0.0,0.0,CHRG, ,
No,="0:00:50.0",1,1,1,1,2,="0:00:40.0",1.50,13.220,19.7,0.01,0.21,0.0,0.0,CHRG, ,
No,="0:00:51.0",1,1,1,1,2,="0:00:41.0",1.50,13.225,19.8,0.01,0.22,0.0,0.0,CHRG, ,
No,="0:00:52.0",1,1,1,1,2,="0:00:42.0",1.50,13.231,19.8,0.01,0.22,0.0,0.0,CHRG, ,
No,="0:00:53.0",1,1,1,1,2,="0:00:43.0",1.50,13.236,19.8,0.01,0.23,0.0,0.0,CHRG, ,
No,="0:00:54.0",1,1,1,1,2,="0:00:44.0",1.50,13.241,19.8,0.01,0.23,0.0,0.0,CHRG, ,
No,="0:00:55.0",1,1,1,1,2,="0:00:45.0",1.50,13.247,19.8,0.01,0.24,0.0,0.0,CHRG, ,
No,="0:00:56.0",1,1,1,1,2,="0:00:46.0",1.50,13.252,19.8,0.01,0.24,0.0,0.0,CHRG, ,
No,="0:00:57.0",1,1,1,1,2,="0:00:47.0",1.50,13.256,19.8,0.01,0.25,0.0,0.0,CHRG, ,
No,="0:00:58.0",1,1,1,1,2,="0:00:48.0",1.50,13.261,19.8,0.01,0.25,0.0,0.0,CHRG, ,
No,="0:00:59.0",1,1,1,1,2,="0:00:49.0",1.50,13.266,19.8,0.02,0.26,0.0,0.0,CHRG, ,
No,="0:01:00.0",1,1,1,1,2,="0:00:50.0",1.50,13.270,19.9,0.02,0.27,0.0,0.0,CHRG, ,
No,="0:01:01.0",1,1,1,1,2,="0:00:51.0",1.50,13.273,19.8,0.02,0.27,0.0,0.0,CHRG, ,
No,="0:01:02.0",1,1,1,1,2,="0:00:52.0",1.50,13.277,19.9,0.02,0.28,0.0,0.0,CHRG, ,
No,="0:01:03.0",1,1,1,1,2,="0:00:53.0",1.50,13.282,19.8,0.02,0.28,0.0,0.0,CHRG, ,
No,="0:01:04.0",1,1,1,1,2,="0:00:54.0",1.50,13.285,19.8,0.02,0.29,0.0,0.0,CHRG, ,
No,="0:01:05.0",1,1,1,1,2,="0:00:55.0",1.50,13.289,19.8,0.02,0.29,0.0,0.0,CHRG, ,
No,="0:01:06.0",1,1,1,1,2,="0:00:56.0",1.50,13.293,19.9,0.02,0.30,0.0,0.0,CHRG, ,
No,="0:01:07.0",1,1,1,1,2,="0:00:57.0",1.50,13.296,19.9,0.02,0.30,0.0,0.0,CHRG, ,
No,="0:01:08.0",1,1,1,1,2,="0:00:58.0",1.50,13.299,19.9,0.02,0.31,0.0,0.0,CHRG, ,
No,="0:01:09.0",1,1,1,1,2,="0:00:59.0",1.50,13.303,19.9,0.02,0.32,0.0,0.0,CHRG, ,
No,="0:01:10.0",1,1,1,1,2,="0:01:00.0",1.50,13.306,19.9,0.02,0.32,0.0,0.0,CHRG, ,
No,="0:01:11.0",1,1,1,1,2,="0:01:01.0",1.50,13.309,19.9,0.02,0.33,0.0,0.0,CHRG, ,
No,="0:01:12.0",1,1,1,1,2,="0:01:02.0",1.49,13.312,19.8,0.02,0.33,0.0,0.0,CHRG, ,
No,="0:01:13.0",1,1,1,1,2,="0:01:03.0",1.50,13.315,19.9,0.02,0.34,0.0,0.0,CHRG, ,
No,="0:01:14.0",1,1,1,1,2,="0:01:04.0",1.50,13.317,19.9,0.02,0.34,0.0,0.0,CHRG, ,
No,="0:01:15.0",1,1,1,1,2,="0:01:05.0",1.50,13.321,19.9,0.02,0.35,0.0,0.0,CHRG, ,
No,="0:01:16.0",1,1,1,1,2,="0:01:06.0",1.50,13.323,19.9,0.02,0.35,0.0,0.0,CHRG, ,
No,="0:01:17.0",1,1,1,1,2,="0:01:07.0",1.50,13.326,19.9,0.02,0.36,0.0,0.0,CHRG, ,
No,="0:01:18.0",1,1,1,1,2,="0:01:08.0",1.50,13.328,19.9,0.02,0.37,0.0,0.0,CHRG, ,
No,="0:01:19.0",1,1,1,1,2,="0:01:09.0",1.50,13.331,19.9,0.02,0.37,0.0,0.0,CHRG, ,
No,="0:01:20.0",1,1,1,1,2,="0:01:10.0",1.50,13.333,19.9,0.02,0.38,0.0,0.0,CHRG, ,
No,="0:01:21.0",1,1,1,1,2,="0:01:11.0",1.50,13.335,19.9,0.02,0.38,0.0,0.0,CHRG, ,
No,="0:01:22.0",1,1,1,1,2,="0:01:12.0",1.50,13.338,20.0,0.02,0.39,0.0,0.0,CHRG, ,
No,="0:01:23.0",1,1,1,1,2,="0:01:13.0",1.50,13.340,20.0,0.03,0.39,0.0,0.0,CHRG, ,
No,="0:01:24.0",1,1,1,1,2,="0:01:14.0",1.50,13.343,19.9,0.03,0.40,0.0,0.0,CHRG, ,
No,="0:01:25.0",1,1,1,1,2,="0:01:15.0",1.50,13.345,20.0,0.03,0.40,0.0,0.0,CHRG, ,
No,="0:01:26.0",1,1,1,1,2,="0:01:16.0",1.50,13.347,20.0,0.03,0.41,0.0,0.0,CHRG, ,
No,="0:01:27.0",1,1,1,1,2,="0:01:17.0",1.50,13.349,19.9,0.03,0.42,0.0,0.0,CHRG, ,
No,="0:01:28.0",1,1,1,1,2,="0:01:18.0",1.50,13.351,19.9,0.03,0.42,0.0,0.0,CHRG, ,
No,="0:01:29.0",1,1,1,1,2,="0:01:19.0",1.50,13.353,19.9,0.03,0.43,0.0,0.0,CHRG, ,
No,="0:01:30.0",1,1,1,1,2,="0:01:20.0",1.50,13.355,19.9,0.03,0.43,0.0,0.0,CHRG, ,
No,="0:01:31.0",1,1,1,1,2,="0:01:21.0",1.50,13.357,20.0,0.03,0.44,0.0,0.0,CHRG, ,
No,="0:01:32.0",1,1,1,1,2,="0:01:22.0",1.50,13.359,20.0,0.03,0.44,0.0,0.0,CHRG, ,
No,="0:01:33.0",1,1,1,1,2,="0:01:23.0",1.50,13.361,20.0,0.03,0.45,0.0,0.0,CHRG, ,
No,="0:01:34.0",1,1,1,1,2,="0:01:24.0",1.49,13.363,19.9,0.03,0.45,0.0,0.0,CHRG, ,
