Test Name:,"UCT-AST9AH-A08",
Test Date:,"2024/03/04 10:46:47 AM",
Operator ID:,"Uyilo",

Program Name:,"UCT-Charge and par discharge",
Program Description:,"Charge and discharge test",
Program Database:,C:\VisuaLCN\Programs\Standard tests.mdb,

Module Type:,fj,
Module Description:,"LCV 16-100-12",
Address:,"Port: 1, Sys Controller: 1  Circuit: 12",
Name:,"Channel 12",Device ID:,"Unknown",

"Exclude","Total Time, (h:m:s)","Cycle","Loop Counter #1","Loop Counter #2","Loop Counter #3","Step","Step time, (h:m:s)","Current, A","Voltage, V","Power, W","Amp-Hours, AH","Watt-Hours, WH","Unassigned A1","Unassigned A2","Mode","Data Acquisition Flag",

No,="0:00:01.0",1,1,1,1,1,="0:00:01.0",0.00,12.565,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:02.0",1,1,1,1,1,="0:00:02.0",0.00,12.565,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:03.0",1,1,1,1,1,="0:00:03.0",0.00,12.565,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:04.0",1,1,1,1,1,="0:00:04.0",0.00,12.565,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:05.0",1,1,1,1,1,="0:00:05.0",-0.01,12.565,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:06.0",1,1,1,1,1,="0:00:06.0",0.00,12.565,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:07.0",1,1,1,1,1,="0:00:07.0",0.00,12.565,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:08.0",1,1,1,1,1,="0:00:08.0",0.00,12.565,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:09.0",1,1,1,1,1,="0:00:09.0",0.00,12.565,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:10.0",1,1,1,1,1,="0:00:10.0",0.00,12.565,0.0,0.00,0.00,0.0,0.0,REST,P,
No,="0:00:11.0",1,1,1,1,2,="0:00:01.0",1.49,12.746,19.0,0.00,0.00,0.0,0.0,CHRG, ,
No,="0:00:12.0",1,1,1,1,2,="0:00:02.0",1.50,12.773,19.1,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:00:13.0",1,1,1,1,2,="0:00:03.0",1.50,12.795,19.1,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:00:14.0",1,1,1,1,2,="0:00:04.0",1.50,12.816,19.1,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:00:15.0",1,1,1,1,2,="0:00:05.0",1.50,12.836,19.2,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:00:16.0",1,1,1,1,2,="0:00:06.0",1.50,12.855,19.2,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:00:17.0",1,1,1,1,2,="0:00:07.0",1.50,12.873,19.2,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:00:18.0",1,1,1,1,2,="0:00:08.0",1.50,12.890,19.3,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:00:19.0",1,1,1,1,2,="0:00:09.0",1.50,12.906,19.3,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:00:20.0",1,1,1,1,2,="0:00:10.0",1.49,12.921,19.3,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:00:21.0",1,1,1,1,2,="0:00:11.0",1.50,12.935,19.4,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:00:22.0",1,1,1,1,2,="0:00:12.0",1.50,12.949,19.3,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:00:23.0",1,1,1,1,2,="0:00:13.0",1.50,12.963,19.4,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:00:24.0",1,1,1,1,2,="0:00:14.0",1.50,12.976,19.4,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:00:25.0",1,1,1,1,2,="0:00:15.0",1.50,12.988,19.4,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:00:26.0",1,1,1,1,2,="0:00:16.0",1.50,13.000,19.5,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:00:27.0",1,1,1,1,2,="0:00:17.0",1.50,13.012,19.5,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:00:28.0",1,1,1,1,2,="0:00:18.0",1.50,13.023,19.5,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:00:29.0",1,1,1,1,2,="0:00:19.0",1.50,13.034,19.5,0.00,0.10,0.0,0.0,CHRG, ,
No,="0:00:30.0",1,1,1,1,2,="0:00:20.0",1.50,13.045,19.5,0.00,0.10,0.0,0.0,CHRG, ,
No,="0:00:31.0",1,1,1,1,2,="0:00:21.0",1.50,13.055,19.5,0.00,0.11,0.0,0.0,CHRG, ,
No,="0:00:32.0",1,1,1,1,2,="0:00:22.0",1.50,13.065,19.5,0.00,0.11,0.0,0.0,CHRG, ,
No,="0:00:33.0",1,1,1,1,2,="0:00:23.0",1.50,13.074,19.5,0.00,0.12,0.0,0.0,CHRG, ,
