Test Name:,"UCT_AST_9AH_B09_VARIED DCHG",
Test Date:,"2024/05/08 11:19:26 AM",
Operator ID:,"Uyilo",

Program Name:,"UCT_AST9AH_VARIED_DISCH",
Program Description:,"Charge and discharge test",
Program Database:,C:\VisuaLCN\Programs\Standard tests.mdb,

Module Type:,fj,
Module Description:,"LCV 16-100-12",
Address:,"Port: 1, Sys Controller: 1  Circuit: 7",
Name:,"Channel 7",Device ID:,"Unknown",

"Exclude","Total Time, (h:m:s)","Cycle","Loop Counter #1","Loop Counter #2","Loop Counter #3","Step","Step time, (h:m:s)","Current, A","Voltage, V","Power, W","Amp-Hours, AH","Watt-Hours, WH","Unassigned A1","Unassigned A2","Mode","Data Acquisition Flag",

No,="0:00:30.0",1,1,1,1,1,="0:00:30.0",0.00,12.908,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:01:00.0",1,1,1,1,1,="0:01:00.0",-0.01,12.908,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:01:30.0",1,1,1,1,1,="0:01:30.0",-0.01,12.908,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:02:00.0",1,1,1,1,1,="0:02:00.0",0.00,12.908,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:02:30.0",1,1,1,1,1,="0:02:30.0",0.00,12.908,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:03:00.0",1,1,1,1,1,="0:03:00.0",0.00,12.907,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:03:30.0",1,1,1,1,1,="0:03:30.0",0.00,12.908,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:04:00.0",1,1,1,1,1,="0:04:00.0",-0.01,12.908,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:04:30.0",1,1,1,1,1,="0:04:30.0",0.00,12.908,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:05:00.0",1,1,1,1,1,="0:05:00.0",-0.01,12.908,0.0,0.00,0.00,0.0,0.0,REST,P,
No,="0:05:01.0",1,1,1,1,2,="0:00:01.0",1.50,14.221,21.2,0.00,0.00,0.0,0.0,CHRG, ,
No,="0:05:01.6",1,1,1,1,2,="0:00:01.6",1.49,14.401,21.4,0.00,0.00,0.0,0.0,CHRG,S,
No,="0:05:02.6",1,1,1,1,3,="0:00:01.0",0.78,14.200,11.1,0.00,0.00,0.0,0.0,CHRG, ,
No,="0:05:03.6",1,1,1,1,3,="0:00:02.0",0.72,14.200,10.2,0.00,0.00,0.0,0.0,CHRG, ,
No,="0:05:04.6",1,1,1,1,3,="0:00:03.0",0.66,14.201,9.3,0.00,0.00,0.0,0.0,CHRG, ,
No,="0:05:05.6",1,1,1,1,3,="0:00:04.0",0.62,14.200,8.7,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:06.6",1,1,1,1,3,="0:00:05.0",0.59,14.199,8.3,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:07.6",1,1,1,1,3,="0:00:06.0",0.55,14.200,7.8,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:08.6",1,1,1,1,3,="0:00:07.0",0.53,14.201,7.5,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:09.6",1,1,1,1,3,="0:00:08.0",0.51,14.201,7.2,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:10.0",1,1,1,1,3,="0:00:08.4",0.50,14.200,7.1,0.00,0.02,0.0,0.0,CHRG,S,
No,="0:05:11.0",1,1,1,1,4,="0:00:01.0",0.28,13.705,3.8,0.00,0.00,0.0,0.0,CHRG, ,
No,="0:05:12.0",1,1,1,1,4,="0:00:02.0",0.31,13.700,4.2,0.00,0.00,0.0,0.0,CHRG, ,
No,="0:05:13.0",1,1,1,1,4,="0:00:03.0",0.31,13.700,4.2,0.00,0.00,0.0,0.0,CHRG, ,
No,="0:05:14.0",1,1,1,1,4,="0:00:04.0",0.29,13.700,4.0,0.00,0.00,0.0,0.0,CHRG, ,
No,="0:05:15.0",1,1,1,1,4,="0:00:05.0",0.29,13.700,3.9,0.00,0.00,0.0,0.0,CHRG, ,
No,="0:05:16.0",1,1,1,1,4,="0:00:06.0",0.29,13.701,3.9,0.00,0.00,0.0,0.0,CHRG, ,
No,="0:05:17.0",1,1,1,1,4,="0:00:07.0",0.28,13.700,3.8,0.00,0.00,0.0,0.0,CHRG, ,
No,="0:05:18.0",1,1,1,1,4,="0:00:08.0",0.27,13.700,3.6,0.00,0.00,0.0,0.0,CHRG, ,
No,="0:05:19.0",1,1,1,1,4,="0:00:09.0",0.27,13.699,3.6,0.00,0.00,0.0,0.0,CHRG, ,
No,="0:05:20.0",1,1,1,1,4,="0:00:10.0",0.27,13.700,3.6,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:21.0",1,1,1,1,4,="0:00:11.0",0.26,13.700,3.5,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:22.0",1,1,1,1,4,="0:00:12.0",0.26,13.700,3.5,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:23.0",1,1,1,1,4,="0:00:13.0",0.26,13.700,3.5,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:24.0",1,1,1,1,4,="0:00:14.0",0.25,13.699,3.4,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:25.0",1,1,1,1,4,="0:00:15.0",0.25,13.700,3.4,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:26.0",1,1,1,1,4,="0:00:16.0",0.25,13.701,3.4,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:27.0",1,1,1,1,4,="0:00:17.0",0.24,13.700,3.2,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:28.0",1,1,1,1,4,="0:00:18.0",0.24,13.700,3.3,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:29.0",1,1,1,1,4,="0:00:19.0",0.25,13.700,3.3,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:30.0",1,1,1,1,4,="0:00:20.0",0.23,13.700,3.1,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:31.0",1,1,1,1,4,="0:00:21.0",0.24,13.699,3.3,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:32.0",1,1,1,1,4,="0:00:22.0",0.23,13.699,3.1,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:33.0",1,1,1,1,4,="0:00:23.0",0.23,13.699,3.1,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:34.0",1,1,1,1,4,="0:00:24.0",0.22,13.699,3.0,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:35.0",1,1,1,1,4,="0:00:25.0",0.22,13.701,3.0,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:36.0",1,1,1,1,4,="0:00:26.0",0.22,13.700,3.0,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:37.0",1,1,1,1,4,="0:00:27.0",0.23,13.700,3.1,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:38.0",1,1,1,1,4,="0:00:28.0",0.22,13.700,3.0,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:39.0",1,1,1,1,4,="0:00:29.0",0.22,13.699,3.0,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:40.0",1,1,1,1,4,="0:00:30.0",0.22,13.700,3.0,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:41.0",1,1,1,1,4,="0:00:31.0",0.21,13.701,2.8,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:42.0",1,1,1,1,4,="0:00:32.0",0.21,13.701,2.9,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:43.0",1,1,1,1,4,="0:00:33.0",0.21,13.698,2.8,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:44.0",1,1,1,1,4,="0:00:34.0",0.22,13.701,2.9,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:45.0",1,1,1,1,4,="0:00:35.0",0.20,13.701,2.7,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:46.0",1,1,1,1,4,="0:00:36.0",0.21,13.700,2.8,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:47.0",1,1,1,1,4,="0:00:37.0",0.20,13.701,2.7,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:48.0",1,1,1,1,4,="0:00:38.0",0.19,13.699,2.6,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:49.0",1,1,1,1,4,="0:00:39.0",0.20,13.701,2.7,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:50.0",1,1,1,1,4,="0:00:40.0",0.20,13.700,2.7,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:51.0",1,1,1,1,4,="0:00:41.0",0.19,13.700,2.6,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:52.0",1,1,1,1,4,="0:00:42.0",0.20,13.700,2.7,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:53.0",1,1,1,1,4,="0:00:43.0",0.20,13.701,2.7,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:54.0",1,1,1,1,4,="0:00:44.0",0.19,13.700,2.6,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:55.0",1,1,1,1,4,="0:00:45.0",0.19,13.701,2.6,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:56.0",1,1,1,1,4,="0:00:46.0",0.19,13.701,2.6,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:05:57.0",1,1,1,1,4,="0:00:47.0",0.19,13.700,2.6,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:05:58.0",1,1,1,1,4,="0:00:48.0",0.20,13.699,2.7,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:05:59.0",1,1,1,1,4,="0:00:49.0",0.19,13.700,2.6,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:06:00.0",1,1,1,1,4,="0:00:50.0",0.20,13.700,2.7,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:06:01.0",1,1,1,1,4,="0:00:51.0",0.19,13.700,2.6,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:06:02.0",1,1,1,1,4,="0:00:52.0",0.19,13.699,2.5,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:06:03.0",1,1,1,1,4,="0:00:53.0",0.19,13.700,2.5,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:06:04.0",1,1,1,1,4,="0:00:54.0",0.19,13.699,2.6,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:06:05.0",1,1,1,1,4,="0:00:55.0",0.19,13.700,2.6,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:06:06.0",1,1,1,1,4,="0:00:56.0",0.19,13.699,2.6,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:06:07.0",1,1,1,1,4,="0:00:57.0",0.18,13.700,2.4,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:06:08.0",1,1,1,1,4,="0:00:58.0",0.18,13.700,2.5,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:06:09.0",1,1,1,1,4,="0:00:59.0",0.18,13.701,2.5,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:06:10.0",1,1,1,1,4,="0:01:00.0",0.18,13.700,2.4,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:11.0",1,1,1,1,4,="0:01:01.0",0.18,13.700,2.5,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:12.0",1,1,1,1,4,="0:01:02.0",0.18,13.700,2.4,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:13.0",1,1,1,1,4,="0:01:03.0",0.19,13.699,2.5,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:14.0",1,1,1,1,4,="0:01:04.0",0.18,13.700,2.5,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:15.0",1,1,1,1,4,="0:01:05.0",0.19,13.700,2.5,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:16.0",1,1,1,1,4,="0:01:06.0",0.18,13.701,2.4,0.00,0.05,0.0,0.0,CHRG, ,
