Test Name:,"UCT_AST_9AH_B05_VARIED DCHG",
Test Date:,"2024/05/08 11:26:26 AM",
Operator ID:,"Uyilo",

Program Name:,"UCT_AST9AH_VARIED_DISCH",
Program Description:,"Charge and discharge test",
Program Database:,C:\VisuaLCN\Programs\Standard tests.mdb,

Module Type:,fj,
Module Description:,"LCV 16-100-12",
Address:,"Port: 1, Sys Controller: 1  Circuit: 14",
Name:,"Channel 14",Device ID:,"Unknown",

"Exclude","Total Time, (h:m:s)","Cycle","Loop Counter #1","Loop Counter #2","Loop Counter #3","Step","Step time, (h:m:s)","Current, A","Voltage, V","Power, W","Amp-Hours, AH","Watt-Hours, WH","Unassigned A1","Unassigned A2","Mode","Data Acquisition Flag",
No,="0:05:32.5",1,1,1,1,4,="0:00:17.0",0.29,13.701,4.0,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:33.5",1,1,1,1,4,="0:00:18.0",0.31,13.700,4.2,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:34.5",1,1,1,1,4,="0:00:19.0",0.28,13.699,3.8,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:35.5",1,1,1,1,4,="0:00:20.0",0.29,13.700,3.9,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:36.5",1,1,1,1,4,="0:00:21.0",0.29,13.700,3.9,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:37.5",1,1,1,1,4,="0:00:22.0",0.28,13.701,3.8,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:38.5",1,1,1,1,4,="0:00:23.0",0.29,13.701,3.9,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:39.5",1,1,1,1,4,="0:00:24.0",0.29,13.701,3.9,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:40.5",1,1,1,1,4,="0:00:25.0",0.28,13.701,3.8,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:41.5",1,1,1,1,4,="0:00:26.0",0.27,13.701,3.6,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:42.5",1,1,1,1,4,="0:00:27.0",0.27,13.701,3.6,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:43.5",1,1,1,1,4,="0:00:28.0",0.27,13.701,3.6,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:44.5",1,1,1,1,4,="0:00:29.0",0.27,13.700,3.6,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:45.5",1,1,1,1,4,="0:00:30.0",0.26,13.700,3.5,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:46.5",1,1,1,1,4,="0:00:31.0",0.25,13.700,3.4,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:47.5",1,1,1,1,4,="0:00:32.0",0.26,13.701,3.5,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:48.5",1,1,1,1,4,="0:00:33.0",0.26,13.701,3.5,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:49.5",1,1,1,1,4,="0:00:34.0",0.26,13.700,3.5,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:50.5",1,1,1,1,4,="0:00:35.0",0.26,13.701,3.5,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:51.5",1,1,1,1,4,="0:00:36.0",0.25,13.700,3.4,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:05:52.5",1,1,1,1,4,="0:00:37.0",0.25,13.701,3.4,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:05:53.5",1,1,1,1,4,="0:00:38.0",0.25,13.701,3.3,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:05:54.5",1,1,1,1,4,="0:00:39.0",0.25,13.701,3.4,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:05:55.5",1,1,1,1,4,="0:00:40.0",0.24,13.701,3.2,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:05:56.5",1,1,1,1,4,="0:00:41.0",0.24,13.700,3.3,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:05:57.5",1,1,1,1,4,="0:00:42.0",0.24,13.700,3.2,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:05:58.5",1,1,1,1,4,="0:00:43.0",0.24,13.701,3.2,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:05:59.5",1,1,1,1,4,="0:00:44.0",0.22,13.700,3.0,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:06:00.5",1,1,1,1,4,="0:00:45.0",0.25,13.700,3.4,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:06:01.5",1,1,1,1,4,="0:00:46.0",0.24,13.700,3.3,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:06:02.5",1,1,1,1,4,="0:00:47.0",0.23,13.700,3.1,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:03.5",1,1,1,1,4,="0:00:48.0",0.23,13.701,3.1,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:04.5",1,1,1,1,4,="0:00:49.0",0.23,13.700,3.1,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:05.5",1,1,1,1,4,="0:00:50.0",0.23,13.700,3.1,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:06:06.5",1,1,1,1,4,="0:00:51.0",0.23,13.700,3.1,0.00,0.05,0.0,0.0,CHRG, ,
