Test Name:,"UCT_AST_9AH_B01_CHG",
Test Date:,"2024/05/10 02:41:30 PM",
Operator ID:,"Uyilo",

Program Name:,"UCT_AST9AH_VARIED_DISCH",
Program Description:,"Charge and discharge test",
Program Database:,C:\VisuaLCN\Programs\Standard tests.mdb,

Module Type:,fj,
Module Description:,"LCV 16-100-12",
Address:,"Port: 1, Sys Controller: 1  Circuit: 8",
Name:,"Channel 8",Device ID:,"Unknown",

"Exclude","Total Time, (h:m:s)","Cycle","Loop Counter #1","Loop Counter #2","Loop Counter #3","Step","Step time, (h:m:s)","Current, A","Voltage, V","Power, W","Amp-Hours, AH","Watt-Hours, WH","Unassigned A1","Unassigned A2","Mode","Data Acquisition Flag",
No,="0:05:33.8",1,1,1,1,4,="0:00:05.0",0.34,13.701,4.6,0.00,0.00,0.0,0.0,CHRG, ,
No,="0:05:34.8",1,1,1,1,4,="0:00:06.0",0.33,13.700,4.5,0.00,0.00,0.0,0.0,CHRG, ,
No,="0:05:35.8",1,1,1,1,4,="0:00:07.0",0.34,13.700,4.6,0.00,0.00,0.0,0.0,CHRG, ,
No,="0:05:36.8",1,1,1,1,4,="0:00:08.0",0.32,13.700,4.3,0.00,0.00,0.0,0.0,CHRG, ,
No,="0:05:37.8",1,1,1,1,4,="0:00:09.0",0.32,13.701,4.3,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:38.8",1,1,1,1,4,="0:00:10.0",0.32,13.700,4.3,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:39.8",1,1,1,1,4,="0:00:11.0",0.31,13.700,4.2,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:40.8",1,1,1,1,4,="0:00:12.0",0.32,13.701,4.3,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:41.8",1,1,1,1,4,="0:00:13.0",0.32,13.700,4.3,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:42.8",1,1,1,1,4,="0:00:14.0",0.31,13.700,4.2,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:43.8",1,1,1,1,4,="0:00:15.0",0.30,13.700,4.1,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:44.8",1,1,1,1,4,="0:00:16.0",0.31,13.700,4.2,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:45.8",1,1,1,1,4,="0:00:17.0",0.30,13.701,4.1,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:46.8",1,1,1,1,4,="0:00:18.0",0.30,13.701,4.1,0.00,0.02,0.0,0.0,CHRG, ,
