

Measurement ID,6902
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/03/08 09:47:12
End Time,2024/03/08 09:55:48
Test section,EIS00001
Comment,UCT_AST_A10_0
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.046,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 5000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.046,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.046,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.330,00:00:37.376,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,5000.000,0,9,14,36,1,16.00000,11.77707,22.65326,9.51749,5052.631,0.00000,0.01,10.00,3,0,0.05,24.57138,22.78911,11.77777,11.77895,22.62849,22.61362,9.30503,9.35003,24.46696,22.35289,24.47036,22.46357,0,0,
3,EIS,00:00:49.324,00:00:54.370,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,3749.471,0,9,14,36,2,16.00000,11.77752,22.74301,6.46632,3692.308,0.00000,0.01,10.00,3,0,0.05,23.64441,15.87156,11.77775,11.77916,22.72300,22.72650,6.32369,6.34936,23.58652,15.55161,23.59679,15.60938,0,0,
3,EIS,00:01:06.124,00:01:11.170,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2811.707,0,9,14,36,3,16.00000,11.77731,22.89222,4.36353,2823.529,0.00000,0.01,10.00,3,0,0.05,23.30438,10.79181,11.77757,11.77930,22.88268,22.88227,4.24447,4.26906,23.27300,10.50826,23.27710,10.56797,0,0,
3,EIS,00:01:23.062,00:01:28.108,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2108.483,0,9,14,36,4,16.00000,11.77767,23.13746,2.45166,2086.957,0.00000,0.01,10.00,3,0,0.05,23.26698,6.04853,11.77785,11.77924,23.13825,23.13077,2.37011,2.39075,23.25933,5.84855,23.25399,5.90102,0,0,
3,EIS,00:01:40.043,00:01:45.089,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1581.139,0,9,14,36,5,16.00000,11.77724,23.43238,1.00386,1573.771,0.00000,0.01,10.00,3,0,0.05,23.45387,2.45310,11.77776,11.77949,23.43118,23.43147,0.94698,0.95969,23.45031,2.31436,23.45111,2.34538,0,0,
3,EIS,00:01:57.236,00:02:02.282,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1185.687,0,9,14,36,6,16.00000,11.77692,23.79139,-0.22981,1185.185,0.00000,0.01,10.00,3,0,0.05,23.79250,-0.55342,11.77786,11.77832,23.79373,23.79619,-0.27313,-0.26064,23.79529,-0.65766,23.79762,-0.62753,0,0,
3,EIS,00:02:15.101,00:02:20.147,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,889.140,0,9,14,36,7,16.00000,11.77727,24.25463,-1.29362,888.889,0.00000,0.01,10.00,3,0,0.05,24.28910,-3.05298,11.77701,11.77929,24.25495,24.25132,-1.33391,-1.32611,24.29160,-3.14782,24.28755,-3.12994,0,0,
3,EIS,00:02:33.285,00:02:38.331,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,666.761,0,9,14,36,8,16.00000,11.77724,24.81329,-2.25803,666.667,0.00000,0.01,10.00,3,0,0.05,24.91582,-5.19963,11.77886,11.77791,24.81619,24.81740,-2.28533,-2.27787,24.92119,-5.26155,24.92172,-5.24422,0,0,
3,EIS,00:02:51.259,00:02:56.305,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,500.000,0,9,14,36,9,16.00000,11.77730,25.42914,-3.15911,500.000,0.00000,0.01,10.00,3,0,0.05,25.62462,-7.08169,11.77732,11.77942,25.43924,25.43740,-3.18526,-3.17166,25.63788,-7.13689,25.63437,-7.10725,0,0,
3,EIS,00:03:09.861,00:03:14.907,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,374.947,0,9,14,36,10,16.00000,11.77731,26.18386,-3.94888,375.000,0.00000,0.01,10.00,3,0,0.05,26.47996,-8.57633,11.77851,11.77896,26.18950,26.18677,-3.96952,-3.96226,26.48862,-8.61866,26.48483,-8.60403,0,0,
3,EIS,00:03:29.311,00:03:34.357,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,281.171,0,9,14,36,11,16.00000,11.77839,27.03268,-4.84728,281.525,0.00000,0.01,10.00,3,0,0.05,27.46383,-10.16578,11.77792,11.78046,27.03397,27.03378,-4.86512,-4.85876,27.46826,-10.20194,27.46694,-10.18895,0,0,
3,EIS,00:03:49.849,00:03:54.895,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,210.848,0,9,14,36,12,16.00000,11.77729,28.02423,-5.65376,210.989,0.00000,0.01,10.00,3,0,0.05,28.58885,-11.40605,11.77926,11.77879,28.02606,28.02346,-5.67004,-5.66369,28.59387,-11.43732,28.59007,-11.42587,0,0,
3,EIS,00:04:08.852,00:04:13.898,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,158.114,0,9,14,36,13,16.00000,11.77601,29.13077,-6.44505,157.895,0.00000,0.01,10.00,3,0,0.05,29.83523,-12.47547,11.77805,11.77808,29.13430,29.12856,-6.45647,-6.45455,29.84114,-12.49541,29.83512,-12.49420,0,0,
3,EIS,00:04:28.915,00:04:33.961,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,118.569,0,9,14,36,14,16.00000,11.77640,30.34249,-7.23340,118.519,0.00000,0.01,10.00,3,0,0.05,31.19276,-13.40857,11.77808,11.77808,30.33541,30.33646,-7.22281,-7.22820,31.18343,-13.39266,31.18570,-13.40185,0,0,
3,EIS,00:04:47.826,00:04:52.872,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,88.914,0,9,14,36,15,16.00000,11.77666,31.63263,-8.05330,88.889,0.00000,0.01,10.00,3,0,0.05,32.64167,-14.28341,11.77805,11.77868,31.63992,31.63925,-8.05851,-8.05437,32.65003,-14.28911,32.64835,-14.28237,0,0,
3,EIS,00:05:07.225,00:05:12.271,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,66.676,0,9,14,36,16,16.00000,11.77640,33.05899,-8.96833,66.667,0.00000,0.01,10.00,3,0,0.05,34.25387,-15.17805,11.77803,11.78028,33.05828,33.05021,-8.95960,-8.95454,34.25090,-15.16426,34.24179,-15.15963,0,0,
3,EIS,00:05:27.743,00:05:32.789,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,50.000,0,9,14,36,17,16.00000,11.77748,34.66067,-9.97322,50.000,0.00000,0.01,10.00,3,0,0.05,36.06698,-16.05258,11.77754,11.78067,34.66904,34.68179,-9.98375,-9.98819,36.07794,-16.06498,36.09142,-16.06615,0,0,
3,EIS,00:05:47.198,00:05:52.244,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,37.495,0,9,14,36,18,16.00000,11.77871,36.52663,-11.12268,37.500,0.00000,0.01,10.00,3,0,0.05,38.18257,-16.93595,11.77817,11.77826,36.51221,36.51759,-11.11835,-11.12246,38.16752,-16.93604,38.17386,-16.93959,0,0,
3,EIS,00:06:08.097,00:06:13.143,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,28.117,0,9,14,36,19,16.00000,11.77956,38.72696,-12.27057,28.103,0.00000,0.01,10.00,3,0,0.05,40.62443,-17.58072,11.77823,11.78099,38.73431,38.71915,-12.27617,-12.27787,40.63313,-17.58512,40.61919,-17.59386,0,0,
3,EIS,00:06:27.083,00:06:32.129,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,21.085,0,9,14,36,20,16.00000,11.77754,41.30930,-13.35869,21.053,0.00000,0.01,10.00,3,0,0.05,43.41559,-17.92029,11.78002,11.77884,41.28544,41.29539,-13.34658,-13.35439,43.38915,-17.91477,43.40103,-17.92053,0,0,
3,EIS,00:06:46.525,00:06:51.571,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,15.811,0,9,14,36,21,16.00000,11.77646,44.14014,-14.20776,15.831,0.00000,0.01,10.00,3,0,0.05,46.37038,-17.84224,11.77837,11.78167,44.13533,44.12004,-14.19640,-14.19740,46.36233,-17.83071,46.34807,-17.83767,0,0,
3,EIS,00:07:07.119,00:07:12.165,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,11.857,0,9,14,36,22,16.00000,11.77759,47.19692,-14.76893,11.858,0.00000,0.01,10.00,3,0,0.05,49.45372,-17.37602,11.78054,11.77884,47.19214,47.19172,-14.78422,-14.78849,49.45373,-17.39458,49.45461,-17.39944,0,0,
3,EIS,00:07:26.899,00:07:31.945,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,8.891,0,9,14,36,23,16.00000,11.77684,50.24676,-15.03269,8.902,0.00000,0.01,10.00,3,0,0.05,52.44730,-16.65599,11.77832,11.78157,50.25346,50.27282,-15.04002,-15.01357,52.45582,-16.66156,52.46679,-16.62783,0,0,
3,EIS,00:07:47.614,00:07:52.660,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,6.668,0,9,14,36,24,16.00000,11.77584,53.23625,-15.02111,6.667,0.00000,0.01,10.00,3,0,0.05,55.31485,-15.75691,11.77842,11.77720,53.21713,53.20581,-15.01517,-15.01442,55.29483,-15.75637,55.28373,-15.75881,0,0,
3,EIS,00:08:06.540,00:08:11.586,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,5.000,0,9,14,36,25,16.00000,11.77762,55.94180,-14.91922,5.000,0.00000,0.01,10.00,3,0,0.05,57.89705,-14.93276,11.77582,11.77753,55.97780,55.98997,-14.89819,-14.90842,57.92642,-14.90349,57.94082,-14.91017,0,0,
3,EIS,00:08:25.382,00:08:30.428,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,5.000,0,9,14,36,26,16.00000,11.77562,55.97598,-14.86439,5.000,0.00000,0.01,10.00,3,0,0.05,57.91598,-14.87164,11.77837,11.77711,55.97876,55.90367,-14.86410,-14.87551,57.91859,-14.87066,57.84895,-14.90066,0,0,
