

Measurement ID,6856
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/03/06 15:59:39
End Time,2024/03/06 16:07:41
Test section,TS006666\EIS00001
Comment,UCT_AST_A03_-30
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.041,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.041,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.041,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.851,00:00:37.892,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,3000.000,0,9,14,36,1,16.00000,12.84957,29.62993,3.83797,3000.000,0.00000,0.01,10.00,3,0,0.05,29.87746,7.38045,12.84991,12.85067,29.62532,29.61808,3.84443,3.84134,29.87372,7.39386,29.86615,7.38978,0,0,
3,EIS,00:00:50.264,00:00:55.305,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,2249.683,0,9,14,36,2,16.00000,12.85017,29.96338,1.82822,2232.558,0.00000,0.01,10.00,3,0,0.05,30.01910,3.49158,12.85041,12.85131,29.95932,29.96450,1.83017,1.83353,30.01517,3.49576,30.02054,3.50157,0,0,
3,EIS,00:01:07.507,00:01:12.548,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,1687.024,0,9,14,36,3,16.00000,12.85074,30.36460,0.24076,1684.211,0.00000,0.01,10.00,3,0,0.05,30.36555,0.45429,12.85077,12.85139,30.35846,30.36212,0.24861,0.24543,30.35948,0.46919,30.36311,0.46314,0,0,
3,EIS,00:01:24.927,00:01:29.968,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,1265.090,0,9,14,36,4,16.00000,12.85121,30.81377,-1.16411,1263.158,0.00000,0.01,10.00,3,0,0.05,30.83575,-2.16354,12.85083,12.85186,30.81196,30.81070,-1.14733,-1.15361,30.83332,-2.13250,30.83229,-2.14425,0,0,
3,EIS,00:01:42.571,00:01:47.612,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,948.683,0,9,14,36,5,16.00000,12.85036,31.37545,-2.37789,950.495,0.00000,0.01,10.00,3,0,0.05,31.46542,-4.33406,12.85015,12.85211,31.37283,31.37559,-2.36835,-2.37376,31.46210,-4.31709,31.46526,-4.32654,0,0,
3,EIS,00:02:00.024,00:02:05.065,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,711.412,0,9,14,36,6,16.00000,12.85040,32.00223,-3.54698,711.111,0.00000,0.01,10.00,3,0,0.05,32.19819,-6.32460,12.85145,12.85297,32.00736,32.00324,-3.54136,-3.54874,32.20267,-6.31365,32.19939,-6.32750,0,0,
