

Measurement ID,6850
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/03/06 15:41:16
End Time,2024/03/06 15:49:18
Test section,TS006660\EIS00001
Comment,UCT_AST_A02_-30
OrderNo,UCT001
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.050,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.050,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.050,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.363,00:00:37.413,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,3000.000,0,9,14,36,1,16.00000,13.04622,30.25375,3.72386,3000.000,0.00000,0.01,10.00,3,0,0.05,30.48207,7.01711,13.04659,13.04793,30.23796,30.23698,3.81454,3.80547,30.47761,7.18992,30.47551,7.17323,0,0,
3,EIS,00:00:49.633,00:00:54.683,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,2249.683,0,9,14,36,2,16.00000,13.04587,30.58986,1.76757,2232.558,0.00000,0.01,10.00,3,0,0.05,30.64088,3.30704,13.04644,13.04683,30.58059,30.58651,1.83940,1.83459,30.63586,3.44214,30.64148,3.43252,0,0,
3,EIS,00:01:06.567,00:01:11.617,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,1687.024,0,9,14,36,3,16.00000,13.04621,30.96089,0.24307,1684.211,0.00000,0.01,10.00,3,0,0.05,30.96185,0.44982,13.04617,13.04664,30.96218,30.95570,0.29934,0.29678,30.96362,0.55391,30.95712,0.54929,0,0,
3,EIS,00:01:23.874,00:01:28.924,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,1265.090,0,9,14,36,4,16.00000,13.04554,31.39092,-1.10437,1263.158,0.00000,0.01,10.00,3,0,0.05,31.41034,-2.01489,13.04678,13.04754,31.39810,31.39584,-1.05679,-1.06078,31.41587,-1.92772,31.41375,-1.93514,0,0,
3,EIS,00:01:41.266,00:01:46.316,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,948.683,0,9,14,36,5,16.00000,13.04438,31.92165,-2.27419,950.495,0.00000,0.01,10.00,3,0,0.05,32.00256,-4.07502,13.04580,13.04808,31.92477,31.92259,-2.23655,-2.24560,32.00302,-4.00742,32.00147,-4.02385,0,0,
3,EIS,00:01:58.687,00:02:03.737,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,711.412,0,9,14,36,6,16.00000,13.04502,32.53819,-3.36730,711.111,0.00000,0.01,10.00,3,0,0.05,32.71196,-5.90836,13.04438,13.04640,32.54159,32.53971,-3.34508,-3.35003,32.71306,-5.86904,32.71171,-5.87801,0,0,
